table_number,source_caption,loading_N,manufacturing_process,stacking_sequence,infill_condition,specimen_id,n_disc,arrangement,infill_thickness_mm,stiffness_kN_per_mm,E_load_J,E_unload_J,E_dissipated_J,E_dissipated_percent,displacement_max_mm
4,Table 4. Results obtained from hysteresis for loading of 2831N with infill,2831,VB,0/90/0/90,with infill,Pd2-1,2,(|),1,1.42,2.69,1.67,1.01,37.71,3.93
4,Table 4. Results obtained from hysteresis for loading of 2831N with infill,2831,VB,0/90/0/90,with infill,Pd2-3,2,(|),3,0.55,6.19,2.69,3.50,56.49,4.29
4,Table 4. Results obtained from hysteresis for loading of 2831N with infill,2831,VB,0/90/0/90,with infill,Pd2-5,2,(|),5,0.24,11.60,3.70,7.90,68.09,7.38
4,Table 4. Results obtained from hysteresis for loading of 2831N with infill,2831,VB,0/90/0/90,with infill,Sd4-1,4,(|)(|),1,0.69,4.63,3.01,1.62,34.99,4.23
4,Table 4. Results obtained from hysteresis for loading of 2831N with infill,2831,VB,0/90/0/90,with infill,Sd4-3,4,(|)(|),3,0.41,10.30,5.43,4.87,47.30,7.31
4,Table 4. Results obtained from hysteresis for loading of 2831N with infill,2831,VB,0/90/0/90,with infill,Sd4-5,4,(|)(|),5,0.16,19.52,7.88,11.63,59.61,14.38
4,Table 4. Results obtained from hysteresis for loading of 2831N with infill,2831,VB,0/90/0/90,with infill,Pd4-1,4,((|)),1,3.20,1.90,1.24,0.66,34.59,2.46
4,Table 4. Results obtained from hysteresis for loading of 2831N with infill,2831,VB,0/90/0/90,with infill,Pd4-3,4,((|)),3,1.37,3.50,1.99,1.50,43.03,3.20
4,Table 4. Results obtained from hysteresis for loading of 2831N with infill,2831,VB,0/90/0/90,with infill,Pd4-5,4,((|)),5,0.17,13.86,4.30,9.56,68.95,8.50
4,Table 4. Results obtained from hysteresis for loading of 2831N with infill,2831,VB,0/90/0/90,with infill,Pd6-1,6,((())),1,2.98,2.24,1.52,0.72,32.09,2.74
4,Table 4. Results obtained from hysteresis for loading of 2831N with infill,2831,VB,0/90/0/90,with infill,Pd6-3,6,((())),3,0.78,5.20,2.67,2.53,48.71,4.17
4,Table 4. Results obtained from hysteresis for loading of 2831N with infill,2831,VB,0/90/0/90,with infill,Pd6-5,6,((())),5,0.23,12.26,4.54,7.72,62.94,8.33
